# entry,map,zone,area,x,y,z,orientation,wander_distance
6,0,0,0,-8810.0200,-217.0270,83.7262,1.46425,5.0
6,0,0,0,-8809.4500,-233.8710,82.5042,4.57276,0.0
6,0,0,0,-8806.9100,-226.3270,82.8712,5.20619,5.0
6,0,0,0,-8805.9500,-244.9420,82.4202,1.95947,5.0
6,0,0,0,-8796.3800,-247.3730,82.4417,4.31741,5.0
6,0,0,0,-8796.1500,-258.3440,82.9284,2.70763,5.0
6,0,0,0,-8794.9600,-134.1500,83.0352,2.15580,5.0
6,0,0,0,-8794.4500,-170.3990,81.5514,1.74907,5.0
6,0,0,0,-8794.0100,-118.5000,83.5315,1.02964,5.0
6,0,0,0,-8789.9100,-143.3130,82.8382,2.96193,5.0
6,0,0,0,-8785.4600,-171.2290,81.6764,5.11032,5.0
6,0,0,0,-8784.3300,-245.0490,83.1210,3.66519,0.0
6,0,0,0,-8783.0500,-161.5650,82.0352,0.90404,5.0
6,0,0,0,-8781.3000,-115.5520,82.8641,0.12217,0.0
6,0,0,0,-8780.0500,-108.3790,83.6632,5.79449,0.0
6,0,0,0,-8779.8000,-195.3550,84.0514,3.78246,5.0
6,0,0,0,-8778.7800,-125.7320,82.7815,1.30576,5.0
6,0,0,0,-8775.9000,-148.4660,81.4102,4.05152,5.0
6,0,0,0,-8774.1300,-184.4940,83.1764,1.59099,5.0
6,0,0,0,-8773.2100,-242.6940,83.9417,5.63666,5.0
6,0,0,0,-8772.8900,-103.5900,86.1565,5.22354,5.0
6,0,0,0,-8771.4500,-115.9160,83.3650,0.38397,0.0
6,0,0,0,-8768.4600,-176.4340,83.4446,3.31613,0.0
6,0,0,0,-8768.1700,-190.5020,84.7417,6.08596,5.0
6,0,0,0,-8766.9700,-117.3910,83.6927,2.30383,0.0
6,0,0,0,-8765.4200,-256.0490,80.6917,3.86551,5.0
6,0,0,0,-8765.2800,-93.4100,89.8321,0.12920,5.0
6,0,0,0,-8761.0200,-127.5430,83.4305,1.01327,5.0
6,0,0,0,-8760.2600,-201.4700,86.3046,0.96393,5.0
6,0,0,0,-8757.5500,-180.6840,85.0116,1.62418,5.0
6,0,0,0,-8753.5800,-192.7650,85.7976,1.57080,0.0
6,0,0,0,-8752.9500,-160.7760,84.3770,2.22203,5.0
6,0,0,0,-8749.1500,-114.9850,86.0692,6.13703,5.0
30,0,0,0,-9760.2600,162.9480,53.8035,1.60789,5.0
30,0,0,0,-9714.5500,12.6503,40.6567,5.48121,5.0
30,0,0,0,-9678.4600,120.6100,47.3351,0.61377,5.0
30,0,0,0,-9646.8600,371.2040,42.7618,6.15100,5.0
30,0,0,0,-9636.0700,188.9160,47.5386,0.40767,5.0
30,0,0,0,-9625.7200,209.4160,47.9853,2.73477,5.0
30,0,0,0,-9609.8400,82.4616,61.3577,2.50789,5.0
30,0,0,0,-9588.3600,-12.2227,61.6865,5.53788,5.0
30,0,0,0,-9559.3900,217.8420,56.7800,2.27546,5.0
30,0,0,0,-9538.3600,294.2750,54.2141,1.47696,5.0
30,0,0,0,-9524.2500,426.6060,53.0522,3.66698,5.0
30,0,0,0,-9483.6800,547.6210,53.2887,0.36959,5.0
30,0,0,0,-9390.8200,286.7290,62.6390,1.32586,5.0
30,0,0,0,-9383.8200,200.1880,61.4398,0.54642,5.0
30,0,0,0,-9259.6000,444.4170,84.3847,5.11796,5.0
30,0,0,0,-9233.2700,271.0760,72.9248,3.25266,5.0
36,0,0,0,-11011.9000,1387.6400,46.0683,1.37031,5.0
36,0,0,0,-10978.3000,1367.9700,46.1119,3.39802,10.0
36,0,0,0,-10964.0000,1376.2600,46.3728,3.86414,10.0
36,0,0,0,-10952.3000,1355.5200,44.7959,3.81570,10.0
36,0,0,0,-10938.2000,1382.0300,42.1795,4.01717,10.0
36,0,0,0,-10515.0000,1815.2100,40.4497,4.55058,5.0
36,0,0,0,-10501.3000,1779.2600,35.6794,2.26868,5.0
36,0,0,0,-10495.1000,1752.1800,36.6136,4.88771,5.0
36,0,0,0,-10488.7000,1842.1200,38.4167,1.64574,5.0
36,0,0,0,-10474.4000,1810.5400,36.8419,4.37889,5.0
36,0,0,0,-10470.9000,1763.3700,35.4886,4.23995,5.0
36,0,0,0,-10270.2000,1864.4500,36.9199,0.95111,10.0
36,0,0,0,-10248.3000,1878.8300,35.7099,3.17189,10.0
36,0,0,0,-10246.4000,1022.6900,36.4130,2.97195,5.0
36,0,0,0,-10244.5000,1846.9100,36.7264,1.76402,10.0
36,0,0,0,-10238.5000,1044.9000,38.0551,3.62362,5.0
36,0,0,0,-10233.4000,1027.1900,34.6941,-1.34613,0.0
