# entry,difficulty_entry_1,difficulty_entry_2,difficulty_entry_3,KillCredit1,KillCredit2,name,subname,IconName,gossip_menu_id,minlevel,maxlevel,exp,faction,npcflag,speed_walk,speed_run,speed_swim,speed_flight,detection_range,rank,dmgschool,DamageModifier,BaseAttackTime,RangeAttackTime,BaseVariance,RangeVariance,unit_class,unit_flags,unit_flags2,dynamicflags,family,type,type_flags,lootid,pickpocketloot,skinloot,PetSpellDataId,VehicleId,mingold,maxgold,AIName,MovementType,HoverHeight,HealthModifier,ManaModifier,ArmorModifier,ExperienceModifier,RacialLeader,movementId,RegenHealth,CreatureImmunitiesId,flags_extra,ScriptName,VerifiedBuild,model_idx,display_id,display_scale,model_probability,model_verified_build
1,0,0,0,0,0,Waypoint (Only GM can see it),Visual,\N,0,1,80,0,35,0,0.91,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,8,0,0,0,0,0,0,0,0,,0,1,0.0125,1,1,1,0,0,1,0,130,,1,0,10045,1,1,1
3,0,0,0,0,0,Flesh Eater,,\N,0,24,25,0,21,0,0.77778,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,6,0,3,3,0,0,0,32,47,,1,1,1.02,1,1,1,0,0,1,-93,0,,12340,0,987,1,1,51831
6,0,0,0,0,0,Kobold Vermin,,\N,0,1,2,0,25,0,1,0.85714,1,1,10,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,6,6,0,0,0,1,5,SmartAI,1,1,1,1,1,1,0,100,1,0,2,,12340,0,10913,1,1,51831
19,0,0,0,0,0,Benny Questgiver,NPC,\N,0,20,20,0,35,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,6074,1,1,51831
25,0,0,0,0,0,Mithril Mechanical Dragonling,\N,\N,0,45,45,0,2,0,0.91,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,9,6,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,1,0,4465,1,1,1
29,0,0,0,25499,0,Kanrethad,Master of Death,\N,0,1,1,0,35,0,1,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1250,1,1,1,0,0,1,0,0,,12340,0,25275,1,1,51831
30,0,0,0,0,0,Forest Spider,\N,\N,0,5,6,0,22,0,1,0.85714,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,3,1,1,30,0,0,5880,0,0,0,SmartAI,1,1,1,1,1,1,0,100,1,0,0,,12340,0,382,1,1,51831
31,0,0,0,0,0,Furbolg,,\N,0,1,2,0,35,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,0,,12340,0,145,1,1,51831
36,0,0,0,0,0,Harvest Golem,,\N,0,11,12,0,14,0,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,9,32768,36,0,0,0,0,3,24,,1,1,1,1,1,1,0,0,1,-93,0,,12340,0,367,1,1,51831
38,0,0,0,0,0,Defias Thug,\N,\N,0,3,4,0,7,0,1,0.85714,1,1,10,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,38,38,0,0,0,1,5,SmartAI,1,1,1,1,1,1,0,100,1,0,0,,12340,0,5035,1,1,51831
38,0,0,0,0,0,Defias Thug,\N,\N,0,3,4,0,7,0,1,0.85714,1,1,10,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,38,38,0,0,0,1,5,SmartAI,1,1,1,1,1,1,0,100,1,0,0,,12340,1,5036,1,1,51831
40,0,0,0,0,0,Kobold Miner,\N,\N,0,6,7,0,26,0,1,0.85714,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,40,40,0,0,0,1,12,SmartAI,1,1,1,1,1,1,0,100,1,0,0,,12340,0,373,1,1,51831
43,0,0,0,0,0,Mine Spider,\N,\N,0,8,9,0,22,0,1,0.85714,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,3,1,1,43,0,0,10495,0,0,0,SmartAI,1,1,1,1,1,1,0,100,1,0,0,,12340,0,368,1,1,51831
46,0,0,0,0,0,Murloc Forager,,\N,0,9,10,0,18,0,1,0.85714,1,1,18,0,0,1,2000,2000,1,1,1,32768,2048,0,0,7,0,46,46,0,0,0,2,15,SmartAI,1,1,1,1,1,1,0,100,1,0,0,,12340,0,441,1,1,51831
48,0,0,0,0,0,Skeletal Warrior,,\N,0,21,22,0,21,0,0.88889,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,0,2048,0,0,6,0,48,48,0,0,0,27,40,SmartAI,1,1,1.02,1,1,1,0,0,1,-122,0,,12340,0,200,1,1,51831
49,0,0,0,0,0,Lesser Succubus,,\N,0,20,20,0,90,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,3,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,159,1,1,51831
54,0,0,0,0,0,Corina Steele,Weaponsmith,\N,0,10,10,0,12,4224,1,1.14286,1,1,18,0,0,1,2000,2000,1,1,1,512,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,1287,1,1,51831
55,0,0,0,0,0,Mean Ed the Blacksmith,,\N,0,20,20,0,12,0,1.2,1.14286,1,1,20,0,0,1,2000,2000,1,1,1,0,2048,0,0,7,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,0,2,,12340,0,17,1,1,51831
60,0,0,0,0,0,Ruklar the Trapper,\N,\N,0,8,8,0,26,0,1,0.85714,1,1,18,0,0,1,2000,2000,1,1,2,0,2048,0,0,7,0,60,0,0,0,0,7,14,SmartAI,1,1,1,1,1,1,0,100,1,0,0,,12340,0,2153,1,1,51831
