# race,class,map,x,y,z,facing
1,1,0,-8949.95,-132.493,83.5312,0
1,2,0,-8949.95,-132.493,83.5312,0
1,4,0,-8949.95,-132.493,83.5312,0
1,5,0,-8949.95,-132.493,83.5312,0
1,8,0,-8949.95,-132.493,83.5312,0
1,9,0,-8949.95,-132.493,83.5312,0
2,1,1,-618.518,-4251.67,38.718,0
2,3,1,-618.518,-4251.67,38.718,0
2,4,1,-618.518,-4251.67,38.718,0
2,7,1,-618.518,-4251.67,38.718,0
2,9,1,-618.518,-4251.67,38.718,0
3,1,0,-6240.32,331.033,382.758,6.17716
3,2,0,-6240.32,331.033,382.758,6.17716
3,3,0,-6240.32,331.033,382.758,6.17716
3,4,0,-6240.32,331.033,382.758,6.17716
3,5,0,-6240.32,331.033,382.758,6.17716
4,1,1,10311.3,832.463,1326.41,5.69632
4,3,1,10311.3,832.463,1326.41,5.69632
4,4,1,10311.3,832.463,1326.41,5.69632
4,5,1,10311.3,832.463,1326.41,5.69632
4,11,1,10311.3,832.463,1326.41,5.69632
5,1,0,1676.71,1678.31,121.67,2.70526
5,4,0,1676.71,1678.31,121.67,2.70526
5,5,0,1676.71,1678.31,121.67,2.70526
5,8,0,1676.71,1678.31,121.67,2.70526
5,9,0,1676.71,1678.31,121.67,2.70526
6,1,1,-2917.58,-257.98,52.9968,0
6,3,1,-2917.58,-257.98,52.9968,0
6,7,1,-2917.58,-257.98,52.9968,0
6,11,1,-2917.58,-257.98,52.9968,0
7,1,0,-6240.32,331.033,382.758,0
7,4,0,-6240.0,331.0,383.0,0
7,8,0,-6240.0,331.0,383.0,0
7,9,0,-6240.0,331.0,383.0,0
8,1,1,-618.518,-4251.67,38.718,0
8,3,1,-618.518,-4251.67,38.718,0
8,4,1,-618.518,-4251.67,38.718,0
8,5,1,-618.518,-4251.67,38.718,0
8,7,1,-618.518,-4251.67,38.718,0
8,8,1,-618.518,-4251.67,38.718,0
