# kind,quest_id,creature_entry,display_id,x,y,z,orientation
giver,5,288,4325,-10731.4,337.138,38.4686,0.2883
giver,6,823,2072,-8947.64,-132.319,83.7199,3.33358
giver,7,197,1859,-8902.59,-162.606,82.0223,2.04204
giver,8,6784,5509,2126.65,1305.98,53.9885,2.83146
giver,9,233,1943,-10128.7,1055.21,36.4333,2.44346
giver,11,963,3279,-9662.75,694.321,36.9357,3.28122
giver,12,234,1690,-10508.8,1045.23,60.7013,1.95477
giver,13,234,1690,-10508.8,1045.23,60.7013,1.95477
giver,14,234,1690,-10508.8,1045.23,60.7013,1.95477
giver,15,197,1859,-8902.59,-162.606,82.0223,2.04204
giver,16,255,3324,-9918.6,39.3611,32.6858,3.14159
giver,18,823,2072,-8947.64,-132.319,83.7199,3.33358
giver,19,382,3454,-9284.03,-2298.16,67.5772,1.13446
giver,20,382,3454,-9284.03,-2298.16,67.5772,1.13446
giver,21,197,1859,-8902.59,-162.606,82.0223,2.04204
giver,22,235,1691,-10112.1,1042.1,37.5542,2.42601
giver,26,4217,2261,10179.0,2563.98,1340.13,1.22173
giver,27,3033,2106,-1039.41,-281.56,159.114,3.22886
giver,28,11802,11769,8020.0,-2678.74,524.532,5.88176
giver,29,11802,11769,8020.0,-2678.74,524.532,5.88176
giver,30,11799,11766,7874.23,-2224.18,469.159,3.57792
giver,31,11802,11769,8020.0,-2678.74,524.532,5.88176
giver,33,196,3251,-8869.22,-163.237,80.9719,0.959931
giver,34,342,1743,-9245.81,-2045.33,77.1861,5.23599
giver,35,240,1985,-9465.52,74.0069,56.7785,4.59022
giver,36,238,1692,-9853.05,919.542,30.4614,4.7822
giver,37,261,1984,-9610.23,-1032.05,41.3058,3.14159
giver,38,235,1691,-10112.1,1042.1,37.5542,2.42601
giver,39,261,1984,-9610.23,-1032.05,41.3058,3.14159
giver,40,241,3254,-9496.32,72.8264,56.598,6.23082
giver,46,261,1984,-9610.23,-1032.05,41.3058,3.14159
giver,47,241,3254,-9496.32,72.8264,56.598,6.23082
giver,52,261,1984,-9610.23,-1032.05,41.3058,3.14159
giver,54,197,1859,-8902.59,-162.606,82.0223,2.04204
giver,55,311,4327,-10329.9,623.241,26.8738,5.81832
giver,56,264,4322,-10560.8,-1153.7,28.0765,3.55585
giver,57,264,4322,-10560.8,-1153.7,28.0765,3.55585
giver,58,264,4322,-10560.8,-1153.7,28.0765,3.55585
giver,59,240,1985,-9465.52,74.0069,56.7785,4.59022
giver,60,253,5038,-9460.3,31.9389,57.0494,2.98451
giver,61,253,5038,-9460.3,31.9389,57.0494,2.98451
giver,62,240,1985,-9465.52,74.0069,56.7785,4.59022
giver,63,5901,4538,-1345.12,-4047.61,5.97224,4.34587
giver,64,237,1944,-9851.68,918.296,30.5143,4.64258
giver,65,234,1690,-10508.8,1045.23,60.7013,1.95477
giver,76,240,1985,-9465.52,74.0069,56.7785,4.59022
giver,83,278,3268,-9531.76,-1222.42,47.8379,5.35816
giver,84,246,3329,-9889.68,338.467,36.6486,2.75762
giver,85,246,3329,-9889.68,338.467,36.6486,2.75762
giver,86,247,221,-9923.68,38.3872,32.5951,3.14159
giver,87,247,221,-9923.68,38.3872,32.5951,3.14159
giver,88,244,3330,-9895.0,332.424,36.5505,2.11185
giver,89,341,1748,-9279.22,-2268.53,67.6306,5.25344
giver,90,272,1715,-10507.7,-1161.96,28.1995,4.57885
giver,91,900,5009,-9215.92,-2215.91,66.5231,1.78024
giver,92,343,3377,-9209.71,-2063.14,78.2817,3.54302
giver,93,272,1715,-10507.7,-1161.96,28.1995,4.57885
giver,94,313,3348,-9553.08,-728.152,99.2522,2.16421
giver,95,311,4327,-10329.9,623.241,26.8738,5.81832
giver,99,1938,1278,552.829,1593.87,130.219,1.31373
giver,100,7007,5767,430.385,1881.86,15.4168,5.13127
giver,101,265,4323,-10532.0,-1213.64,28.2175,0.150732
giver,102,821,2372,-10511.2,1041.84,60.7013,1.50098
giver,103,392,1279,-11407.1,1966.15,10.5123,3.14159
giver,104,392,1279,-11407.1,1966.15,10.5123,3.14159
giver,106,251,3323,-10014.0,37.605,35.2531,0.767945
giver,107,248,2959,-9880.63,322.619,37.8244,3.14159
giver,109,233,1943,-10128.7,1055.21,36.4333,2.44346
giver,111,252,3331,-9930.05,499.734,32.5204,3.14159
giver,112,253,5038,-9460.3,31.9389,57.0494,2.98451
giver,114,253,5038,-9460.3,31.9389,57.0494,2.98451
giver,115,382,3454,-9284.03,-2298.16,67.5772,1.13446
