# entry,name,subclass,displayid,inventory_type,item_level,required_level,dmg_min,dmg_max,dmg_type,delay,quality
25,Worn Shortsword,7,1542,21,2,1,1.0,3.0,0,1900,1
35,Bent Staff,10,472,17,2,1,3.0,5.0,0,2900,1
36,Worn Mace,4,5194,21,2,1,1.0,3.0,0,1900,1
37,Worn Axe,0,14029,21,2,1,1.0,3.0,0,2000,1
192,Martin's Broken Staff,14,5279,21,75,0,8.0,17.0,0,500,0
727,Notched Shortsword,7,26577,13,10,5,8.0,15.0,0,2100,2
766,Flanged Mace,4,19621,21,7,2,4.0,8.0,0,2000,1
767,Long Bo Staff,10,20443,17,8,3,8.0,13.0,0,2500,1
768,Lumberjack Axe,0,5012,21,9,4,7.0,13.0,0,2600,1
778,Kobold Excavation Pick,0,6259,21,7,2,4.0,9.0,0,2400,1
781,Stone Gnoll Hammer,4,19644,21,9,4,5.0,11.0,0,2100,1
789,Stout Battlehammer,4,19699,21,22,17,17.0,33.0,0,2300,2
790,Forester's Axe,0,19401,21,23,18,20.0,38.0,0,2500,2
816,Small Hand Blade,15,6472,13,11,6,6.0,12.0,0,1500,2
820,Slicer Blade,15,6470,13,17,12,9.0,17.0,0,1500,2
826,Brutish Riverpaw Axe,0,19271,13,15,10,15.0,29.0,0,2800,2
827,Wicked Blackjack,4,3498,13,17,12,14.0,26.0,0,2300,2
851,Cutlass,7,22077,13,15,10,10.0,20.0,0,2200,1
852,Mace,4,8287,13,14,9,8.0,16.0,0,1900,1
853,Hatchet,0,22102,13,16,11,12.0,24.0,0,2500,1
854,Quarter Staff,10,22147,17,16,11,20.0,31.0,0,2700,1
872,Rockslicer,1,19242,17,21,16,48.0,73.0,0,3300,3
880,Staff of Horrors,10,20382,17,23,18,41.0,62.0,0,3400,2
885,Black Metal Axe,0,8494,13,24,19,18.0,34.0,0,2100,2
890,Twisted Chanter's Staff,10,20386,17,24,19,55.0,84.0,0,3400,3
899,Venom Web Fang,15,6459,13,19,14,10.0,19.0,0,1500,2
911,Ironwood Treebranch,5,28628,17,25,20,45.0,69.0,0,3400,2
920,Wicked Spiked Mace,4,19703,13,25,20,22.0,42.0,0,2500,2
925,Flail,4,4351,21,25,20,18.0,34.0,0,2200,1
926,Battle Axe,1,22108,17,25,20,46.0,70.0,0,3800,1
927,Double Axe,0,22106,13,24,19,19.0,36.0,0,2500,1
928,Long Staff,10,22151,17,25,20,36.0,55.0,0,3000,1
935,Night Watch Shortsword,7,8274,13,20,15,24.0,46.0,0,2600,3
945,Shadow Sword,7,859,21,1,1,1.0,2.0,5,2000,1
948,Nature Sword,7,859,21,1,1,1.0,2.0,3,2000,1
997,Fire Sword of Crippling,7,859,21,1,1,1.0,2.0,2,2000,1
1008,Well-used Sword,7,1550,21,10,0,6.0,12.0,0,2100,1
1009,Compact Hammer,4,8583,21,13,0,11.0,21.0,0,2300,2
1010,Gnarled Short Staff,10,20440,17,8,0,9.0,15.0,0,2800,1
1011,Sharp Axe,0,19273,21,8,0,6.0,11.0,0,2600,1
1158,Solid Metal Club,4,19643,21,10,0,8.0,16.0,0,2700,1
1159,Militia Quarterstaff,10,4994,17,5,0,6.0,9.0,0,2800,1
1161,Militia Shortsword,7,1544,21,5,0,3.0,7.0,0,2500,1
1194,Bastard Sword,8,22093,17,4,1,5.0,8.0,0,3000,1
1195,Kobold Mining Shovel,5,7495,17,6,3,6.0,10.0,0,2700,1
1196,Tabar,1,22114,17,14,9,21.0,32.0,0,3200,1
1197,Giant Mace,5,5226,17,15,10,25.0,38.0,0,3500,1
1198,Claymore,8,22095,17,15,10,23.0,35.0,0,3200,1
1214,Gnoll Punisher,4,19625,13,17,12,14.0,27.0,0,2400,2
1218,Heavy Gnoll War Club,5,5527,17,21,16,40.0,61.0,0,3700,2
1219,Redridge Machete,7,20122,13,16,11,13.0,25.0,0,2300,2
1220,Lupine Axe,1,19232,17,20,15,24.0,36.0,0,2300,2
1264,Headbasher,5,5530,17,26,0,32.0,49.0,0,2300,2
1287,Giant Tarantula Fang,15,6447,13,15,10,7.0,14.0,0,1400,2
1292,Butcher's Cleaver,0,8466,13,25,20,23.0,32.0,0,1700,3
1296,Blackrock Mace,4,5195,13,21,16,18.0,35.0,0,2500,2
1300,Lesser Staff of the Spire,10,20391,17,20,15,35.0,54.0,0,3400,2
1317,Hardened Root Staff,10,20377,17,25,0,44.0,67.0,0,3300,2
1318,Night Reaver,1,19290,17,23,18,52.0,78.0,0,3300,3
1382,Rock Mace,4,19636,21,5,0,2.0,5.0,0,1900,1
1383,Stone Tomahawk,0,8495,21,5,0,3.0,6.0,0,2100,1
1384,Dull Blade,7,1546,21,3,1,1.0,3.0,0,1900,1
1387,Ghoulfang,8,20087,17,19,14,36.0,54.0,0,3600,2
1388,Crooked Staff,10,20450,17,3,1,4.0,7.0,0,3300,1
1389,Kobold Mining Mallet,4,8575,21,7,2,4.0,9.0,0,2300,1
1391,Riverpaw Mystic Staff,10,20410,17,18,13,28.0,43.0,0,3000,2
1394,Driftwood Club,4,5203,13,15,10,9.0,17.0,0,1700,2
1405,Foamspittle Staff,10,5540,17,17,12,29.0,44.0,0,3200,2
1406,Pearl-encrusted Spear,6,5638,17,21,20,35.0,53.0,0,3200,2
1411,Withered Staff,10,20442,17,8,3,8.0,12.0,0,3000,0
1412,Crude Bastard Sword,8,20074,17,7,2,7.0,12.0,0,3200,0
1413,Feeble Sword,7,1547,21,8,3,3.0,7.0,0,2000,0
1414,Cracked Sledge,5,19525,17,9,4,10.0,15.0,0,3300,0
1415,Carpenter's Mallet,4,19613,21,9,4,3.0,7.0,0,1700,0
1416,Rusty Hatchet,0,8495,21,9,4,4.0,8.0,0,2100,0
1417,Beaten Battle Axe,1,8501,17,8,3,8.0,13.0,0,3100,0
1440,Gnoll Skull Basher,4,8570,13,19,14,18.0,34.0,0,2700,2
1455,Blackrock Champion's Axe,1,22214,17,24,19,41.0,62.0,0,3200,2
1457,Shadowhide Mace,4,19683,13,22,17,17.0,32.0,0,2200,2
1458,Shadowhide Maul,5,8601,17,23,18,36.0,55.0,0,3000,2
1459,Shadowhide Scalper,0,19136,13,24,19,25.0,47.0,0,2900,2
1460,Shadowhide Two-handed Sword,8,20109,17,20,15,30.0,46.0,0,2900,2
1461,Slayer's Battle Axe,1,19375,17,25,20,39.0,59.0,0,2900,2
1469,Scimitar of Atun,7,20154,13,19,14,17.0,33.0,0,2600,2
1473,Riverside Staff,10,20402,17,19,14,31.0,47.0,0,3100,2
1480,Fist of the People's Militia,4,9381,13,17,0,9.0,18.0,0,1600,2
1481,Grimclaw,0,25595,13,25,20,22.0,42.0,0,2000,3
1482,Shadowfang,7,20089,13,24,19,29.0,55.0,0,2700,3
1483,Face Smasher,4,9117,13,21,16,25.0,48.0,0,2600,3
1484,Witching Stave,10,9122,17,22,17,55.0,83.0,0,3600,3
1485,Pitchfork,6,7464,17,25,20,29.0,45.0,0,3700,0
1510,Heavy Hammer,4,19775,21,12,7,6.0,12.0,0,2400,0
1511,Commoner's Sword,7,20173,21,13,8,6.0,12.0,0,2300,0
1512,Crude Battle Axe,1,19226,17,12,7,12.0,18.0,0,3000,0
1513,Old Greatsword,8,20092,17,14,9,16.0,25.0,0,3600,0
1514,Rusty Warhammer,5,19533,17,14,9,13.0,21.0,0,3000,0
1515,Rough Wooden Staff,10,20421,17,12,7,13.0,20.0,0,3300,0
1516,Worn Hatchet,0,8498,21,14,9,6.0,12.0,0,2100,0
1539,Gnarled Hermit's Staff,10,20395,17,19,14,28.0,42.0,0,2800,2
1566,Edge of the People's Militia,8,20078,17,17,0,26.0,39.0,0,2900,2
1811,Blunt Claymore,8,20037,17,17,12,16.0,25.0,0,3100,0
1812,Short-handled Battle Axe,1,19245,17,17,12,16.0,25.0,0,3100,0
1813,Chipped Quarterstaff,10,20413,17,18,13,17.0,27.0,0,3100,0
1814,Battered Mallet,5,19534,17,19,14,17.0,26.0,0,2900,0
1815,Ornamental Mace,4,5217,21,17,12,10.0,19.0,0,2800,0
1816,Unbalanced Axe,0,8495,21,19,14,9.0,18.0,0,2400,0
1817,Stock Shortsword,7,20164,21,19,14,7.0,14.0,0,1800,0
1818,Standard Claymore,8,20183,17,24,19,23.0,35.0,0,3000,0
1819,Gouging Pick,0,14039,21,22,17,8.0,16.0,0,1800,0
1820,Wooden Maul,5,19535,17,22,17,20.0,30.0,0,2900,0
1821,Warped Blade,7,5151,21,24,19,8.0,15.0,0,1600,0
1822,Cedar Walking Stick,10,20385,17,23,18,20.0,31.0,0,2800,0
1823,Bludgeoning Cudgel,4,6794,21,22,17,8.0,16.0,0,1800,0
1824,Shiny War Axe,1,19292,17,23,18,17.0,26.0,0,2400,0
1893,Miner's Revenge,1,19234,17,20,0,36.0,55.0,0,3500,2
1913,Studded Blackjack,4,5009,21,10,5,5.0,10.0,0,1800,1
1917,Jeweled Dagger,15,20435,13,10,5,6.0,11.0,0,1600,2
1925,Defias Rapier,7,20114,13,16,11,9.0,17.0,0,1600,2
1926,Weighted Sap,4,5218,13,15,10,12.0,22.0,0,2200,2
1927,Deadmines Cleaver,0,19276,13,15,10,14.0,27.0,0,2600,2
1928,Defias Mage Staff,10,20415,17,16,11,24.0,36.0,0,2800,2
1933,Staff of Conjuring,10,20418,17,15,10,24.0,37.0,0,3000,2
1935,Assassin's Blade,15,20471,13,24,19,20.0,39.0,0,1900,3
1936,Goblin Screwdriver,15,20399,13,18,13,8.0,17.0,0,1400,2
1937,Buzz Saw,7,5040,13,21,16,23.0,44.0,0,2400,3
1938,Block Mallet,4,8565,13,22,17,14.0,26.0,0,1800,2
1951,Blackwater Cutlass,7,8279,13,19,14,12.0,24.0,0,1900,2
1958,Petrified Shinbone,4,1759,13,17,12,12.0,23.0,0,2000,2
1959,Cold Iron Pick,1,14038,17,17,12,27.0,41.0,0,3000,2
2000,Archeus,8,20251,17,35,0,63.0,95.0,0,3300,2
2020,Hollowfang Blade,15,20492,13,18,13,8.0,17.0,0,1400,2
2024,Espadon,8,22096,17,21,16,29.0,44.0,0,2900,1
